,,,,,,,Population,Population,Population,Population in 2015 (readjusted),Population change number for 5 years,Population change rate for 5 years,Sex ratio,Area (reference),Population density,Number of households,Number of households,Number of households,Number of households in 2015 (readjusted),Number of households change number for 5 years,Number of households change rate for 5 years,Household members,Household members,Household members
,,,,,,,Sex,Sex,Sex,,,,,,,Type of household,Type of household,Type of household,,,,Type of household,Type of household,Type of household
,,,,,,,1,1,1,,,,,,,1,1,1,,,,1,1,1
,,,,,,,0_Total,1_Male,2_Female,,,,,,,0_Total,1_Private households,2_Institutional households,,,,0_Total,1_Private households,2_Institutional households
,,,,,,,(people),(people),(people),(people),(people),(%),,(km2),(per km2),(households),(households),(households),(households),(households),(%),(people),(people),(people)
Identification Area codes,Prefectures(2000),Area codes (2000),Areas in 2000,Prefectures (2020),Area codes (2020),Areas, ,,,,,,,,,,,,,,,,,
9,36_Tokushima-ken,36362,2000,36_Tokushima-ken,36204,3124_(Municipalities as of 2000) Hanoura-cho,"12,900","6,119","6,781","12,819",81,0.63187,90.23743,8.52,"1,514.1","4,862","4,851",11,"4,722",140,2.96485,"12,900","12,455",445
2,36_Tokushima-ken,36205,,36_Tokushima-ken,36205,3125_Yoshinogawa-shi,"38,772","18,231","20,541","41,466","-2,694",-6.49689,88.75420,144.14,269.0,"15,488","15,444",44,"15,714",-226,-1.43821,"38,772","37,307","1,465"
9,36_Tokushima-ken,36441,2000,36_Tokushima-ken,36205,3126_(Municipalities as of 2000) Kamojima-cho,"22,142","10,382","11,760","23,161","-1,019",-4.39964,88.28231,33.76,655.9,"8,788","8,764",24,"8,772",16,0.18240,"22,142","21,222",920
9,36_Tokushima-ken,36442,2000,36_Tokushima-ken,36205,3127_(Municipalities as of 2000) Kawashima-cho,"6,863","3,245","3,618","7,438",-575,-7.73057,89.69044,17.69,388.0,"2,799","2,795",4,"2,855",-56,-1.96147,"6,863","6,632",231
9,36_Tokushima-ken,36443,2000,36_Tokushima-ken,36205,3128_(Municipalities as of 2000) Yamakawa-cho,"8,955","4,206","4,749","9,910",-955,-9.63673,88.56601,42.27,211.9,"3,545","3,531",14,"3,686",-141,-3.82528,"8,955","8,684",271
9,36_Tokushima-ken,36444,2000,36_Tokushima-ken,36205,3129_(Municipalities as of 2000) Misato-son,812,398,414,957,-145,-15.15152,96.13527,50.47,16.1,356,354,2,401,-45,-11.22195,812,769,43
2,36_Tokushima-ken,36206,,36_Tokushima-ken,36206,3130_Awa-shi,"34,713","16,476","18,237","37,202","-2,489",-6.69050,90.34381,191.11,181.6,"13,029","12,989",40,"13,108",-79,-0.60269,"34,713","33,746",967
9,36_Tokushima-ken,36406,2000,36_Tokushima-ken,36206,3131_(Municipalities as of 2000) Yoshino-cho,"6,986","3,328","3,658","7,584",-598,-7.88502,90.97868,13.32,524.5,"2,780","2,772",8,"2,818",-38,-1.34847,"6,986","6,835",151
9,36_Tokushima-ken,36407,2000,36_Tokushima-ken,36206,3132_(Municipalities as of 2000) Donari-cho,"7,458","3,527","3,931","7,807",-349,-4.47035,89.72272,56.61,131.7,"2,663","2,654",9,"2,583",80,3.09717,"7,458","7,220",238
9,36_Tokushima-ken,36421,2000,36_Tokushima-ken,36206,3133_(Municipalities as of 2000) Ichiba-cho,"9,325","4,366","4,959","10,102",-777,-7.69155,88.04194,72.46,128.7,"3,574","3,564",10,"3,655",-81,-2.21614,"9,325","9,050",275
